vtkOriginalIndices,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,Cell Type,__vtkIsSelected__,df
0,0,0,0,9,0,0.208677
1,1,0,0,9,0,0.201715
2,2,0,0,9,0,0.189253
3,3,0,0,9,0,0.173504
4,4,0,0,9,0,0.156558
5,5,0,0,9,0,0.139851
6,6,0,0,9,0,0.124115
7,7,0,0,9,0,0.109578
8,8,0,0,9,0,0.0962216
9,9,0,0,9,0,0.0839412
10,10,0,0,9,0,0.0726343
11,11,0,0,9,0,0.0622281
12,12,0,0,9,0,0.0526837
13,13,0,0,9,0,0.0439919
14,14,0,0,9,0,0.0361675
15,15,0,0,9,0,0.029244
16,16,0,0,9,0,0.0232675
17,17,0,0,9,0,0.0182904
18,18,0,0,9,0,0.0143665
19,19,0,0,9,0,0.0115728
20,20,0,0,9,0,0.0100449
21,21,0,0,9,0,0.0105398
22,22,0,0,9,0,0.013772
23,23,0,0,9,0,0.139371
24,0,1,0,9,0,0.10556
25,1,1,0,9,0,0.102311
26,2,1,0,9,0,0.0964735
27,3,1,0,9,0,0.0890569
28,4,1,0,9,0,0.0810116
29,5,1,0,9,0,0.0729862
30,6,1,0,9,0,0.0653075
31,7,1,0,9,0,0.0580953
32,8,1,0,9,0,0.0513707
33,9,1,0,9,0,0.0451221
34,10,1,0,9,0,0.0393302
35,11,1,0,9,0,0.0339772
36,12,1,0,9,0,0.0290488
37,13,1,0,9,0,0.024533
38,14,1,0,9,0,0.0204182
39,15,1,0,9,0,0.0166903
40,16,1,0,9,0,0.0133301
41,17,1,0,9,0,0.0103107
42,18,1,0,9,0,0.00759855
43,19,1,0,9,0,0.00516268
44,20,1,0,9,0,0.0030179
45,21,1,0,9,0,0.00149072
46,22,1,0,9,0,0.00801524
47,23,1,0,9,0,0.0573209
48,0,2,0,9,0,0.0424892
49,1,2,0,9,0,0.0411545
50,2,2,0,9,0,0.0387957
51,3,2,0,9,0,0.0358948
52,4,2,0,9,0,0.0328896
53,5,2,0,9,0,0.0300037
54,6,2,0,9,0,0.0272925
55,7,2,0,9,0,0.0247402
56,8,2,0,9,0,0.0223306
57,9,2,0,9,0,0.02006
58,10,2,0,9,0,0.0179294
59,11,2,0,9,0,0.0159383
60,12,2,0,9,0,0.0140811
61,13,2,0,9,0,0.0123452
62,14,2,0,9,0,0.0107109
63,15,2,0,9,0,0.0091535
64,16,2,0,9,0,0.00764924
65,17,2,0,9,0,0.00619252
66,18,2,0,9,0,0.00483227
67,19,2,0,9,0,0.00375272
68,20,2,0,9,0,0.00345451
69,21,2,0,9,0,0.00561154
70,22,2,0,9,0,0.0130226
71,23,2,0,9,0,0.0248405
72,0,3,0,9,0,0.0107455
73,1,3,0,9,0,0.0109026
74,2,3,0,9,0,0.0108294
75,3,3,0,9,0,0.0104167
76,4,3,0,9,0,0.0098615
77,5,3,0,9,0,0.00934371
78,6,3,0,9,0,0.00890549
79,7,3,0,9,0,0.00851625
80,8,3,0,9,0,0.00815438
81,9,3,0,9,0,0.00781004
82,10,3,0,9,0,0.0074808
83,11,3,0,9,0,0.00716581
84,12,3,0,9,0,0.00686258
85,13,3,0,9,0,0.00656572
86,14,3,0,9,0,0.00626778
87,15,3,0,9,0,0.00596323
88,16,3,0,9,0,0.00565883
89,17,3,0,9,0,0.00539493
90,18,3,0,9,0,0.00528203
91,19,3,0,9,0,0.0055423
92,20,3,0,9,0,0.00654767
93,21,3,0,9,0,0.00839789
94,22,3,0,9,0,0.0101514
95,23,3,0,9,0,0.010943
96,0,4,0,9,0,0.00638593
97,1,4,0,9,0,0.00895856
98,2,4,0,9,0,0.0109761
99,3,4,0,9,0,0.0113147
100,4,4,0,9,0,0.0106194
101,5,4,0,9,0,0.0098658
102,6,4,0,9,0,0.00921008
103,7,4,0,9,0,0.00866924
104,8,4,0,9,0,0.00821501
105,9,4,0,9,0,0.0078217
106,10,4,0,9,0,0.00747318
107,11,4,0,9,0,0.00716224
108,12,4,0,9,0,0.00688841
109,13,4,0,9,0,0.00665688
110,14,4,0,9,0,0.00647835
111,15,4,0,9,0,0.00637011
112,16,4,0,9,0,0.00635833
113,17,4,0,9,0,0.00648011
114,18,4,0,9,0,0.00677617
115,19,4,0,9,0,0.00725249
116,20,4,0,9,0,0.00773106
117,21,4,0,9,0,0.00769382
118,22,4,0,9,0,0.00647434
119,23,4,0,9,0,0.00428789
120,0,5,0,9,0,0.0294777
121,1,5,0,9,0,0.0380529
122,2,5,0,9,0,0.0418977
123,3,5,0,9,0,0.0381673
124,4,5,0,9,0,0.0342509
125,5,5,0,9,0,0.0307102
126,6,5,0,9,0,0.0276074
127,7,5,0,9,0,0.0248401
128,8,5,0,9,0,0.0223251
129,9,5,0,9,0,0.0200122
130,10,5,0,9,0,0.0178764
131,11,5,0,9,0,0.0159094
132,12,5,0,9,0,0.0141141
133,13,5,0,9,0,0.0125028
134,14,5,0,9,0,0.0110956
135,15,5,0,9,0,0.00991838
136,16,5,0,9,0,0.00899616
137,17,5,0,9,0,0.00833624
138,18,5,0,9,0,0.00789098
139,19,5,0,9,0,0.00748988
140,20,5,0,9,0,0.00679426
141,21,5,0,9,0,0.0054354
142,22,5,0,9,0,0.00341584
143,23,5,0,9,0,0.00129981
144,0,6,0,9,0,0.0902638
145,1,6,0,9,0,0.119269
146,2,6,0,9,0,0.100618
147,3,6,0,9,0,0.0885602
148,4,6,0,9,0,0.0791835
149,5,6,0,9,0,0.0712103
150,6,6,0,9,0,0.0639903
151,7,6,0,9,0,0.0572413
152,8,6,0,9,0,0.0508685
153,9,6,0,9,0,0.0448529
154,10,6,0,9,0,0.0392023
155,11,6,0,9,0,0.0339312
156,12,6,0,9,0,0.0290536
157,13,6,0,9,0,0.0245817
158,14,6,0,9,0,0.0205276
159,15,6,0,9,0,0.016904
160,16,6,0,9,0,0.0137237
161,17,6,0,9,0,0.0109905
162,18,6,0,9,0,0.00867723
163,19,6,0,9,0,0.00668842
164,20,6,0,9,0,0.00484537
165,21,6,0,9,0,0.0029972
166,22,6,0,9,0,0.00130562
167,23,6,0,9,0,0.000229816
168,0,7,0,9,1,0.339902
169,1,7,0,9,0,0.200631
170,2,7,0,9,0,0.171378
171,3,7,0,9,0,0.157009
172,4,7,0,9,0,0.14412
173,5,7,0,9,0,0.131686
174,6,7,0,9,0,0.119258
175,7,7,0,9,0,0.106957
176,8,7,0,9,0,0.0949648
177,9,7,0,9,0,0.0834539
178,10,7,0,9,0,0.072549
179,11,7,0,9,0,0.0623289
180,12,7,0,9,0,0.052833
181,13,7,0,9,0,0.04407
182,14,7,0,9,0,0.0360254
183,15,7,0,9,0,0.0286703
184,16,7,0,9,0,0.021978
185,17,7,0,9,0,0.0159512
186,18,7,0,9,0,0.0106637
187,19,7,0,9,0,0.00628928
188,20,7,0,9,0,0.00305968
189,21,7,0,9,0,0.00109694
190,22,7,0,9,0,0.000219607
191,23,7,0,9,0,6.14777e-06
